Running Backs ,Team,Opp. ,Points,Salary
"White, James",nwe,@ ind,0,3000.00
"Burton, Michael",det,v. chi,0,3000.00
"Carey, Ka'Deem",chi,@ det,0,3000.00
"Burkhead, Rex",cin,@ buf,0,3000.00
"Darkwa, Orleans",nyg,@ phi,0,3000.00
"Hayne, Jarryd",sfo,v. bal,0,3000.00
"Davis, Mike",sfo,v. bal,0,3000.00
"Johnson, Will",pit,v. ari,0,3000.00
"Todman, Jordan",pit,v. ari,0,3000.00
"Murphy, Marcus",nor,v. atl,0,3000.00
"Barner, Kenjon",phi,v. nyg,0,3000.00
"Taylor, Stepfan",ari,@ pit,0,3000.00
"Bohanon, Tommy",nyj,v. was,0,3000.00
"Bolden, Brandon",nwe,@ ind,0,3000.00
"Nix, Roosevelt",pit,v. ari,0,3000.00
"Johnson, Austin",nor,v. atl,0,3000.00
"Felton, Jerome",buf,v. cin,0,3000.00
"Draughn, Shaun",cle,v. den,0,3000.00
"Tipton, Zurlon",ind,v. nwe,0,3000.00
"Peerman, Cedric",cin,@ buf,0,3000.00
"Fowler, Jalston",ten,v. mia,0,3000.00
"Dixon, Anthony",buf,v. cin,0,3300.00
"Grimes, Jonathan",hou,@ jac,0,3000.00
"Ripkowski, Aaron",gnb,v. sdg,0,3000.00
"Prosch, Jay",hou,@ jac,0,3000.00
"Williams, DeAngelo",pit,v. ari,-0.1,4000.00
