"","Position","Name","Salary","AvgPointsPerGame","AvgRecYardsPerGame","RecTDs","AvgPassYardsPerGame","PassTDs","AvgRushYardsPerGame","RushTDs"
"488","WR","Chris Matthews",3000,0,NA,NA,NA,NA,NA,NA
"489","RB","Ronnie Hillman",3000,12.122,17.4,1,NA,NA,54.2,3
"490","WR","Colin Lockett",3000,0,NA,NA,NA,NA,NA,NA
"491","RB","Bernard Pierce",3000,3.84,1,0,NA,NA,28.2,2
"492","WR","Alan Bonner",3000,0,NA,NA,NA,NA,NA,NA
"493","WR","Stedman Bailey",3000,6.414,31.1,1,NA,NA,0.9,0
"494","RB","Daniel Thomas",3000,4.575,10.1,0,NA,NA,14,2
"495","WR","Justin Brown",3000,2.55,11.8,0,NA,NA,NA,NA
"496","RB","J.C. Copeland",3000,0,NA,NA,NA,NA,NA,NA
"497","RB","Spencer Ware",3000,0,NA,NA,NA,NA,NA,NA
"498","WR","James Wright",3000,1.555,8.3,0,NA,NA,2.7,0
"499","WR","Kenny Bell",3000,0,NA,NA,NA,NA,NA,NA
"500","WR","Quincy Enunwa",3000,0,NA,NA,NA,NA,NA,NA
"501","RB","Storm Johnson",3000,3.533,-0.7,0,NA,NA,14.3,2
"502","WR","Austin Hill",3000,0,NA,NA,NA,NA,NA,NA
"503","WR","Tyler Slavin",3000,0,NA,NA,NA,NA,NA,NA
"504","WR","Solomon Patton",3000,0.271,NA,NA,NA,NA,2.7,0
"505","RB","Rajion Neal",3000,0,NA,NA,NA,NA,NA,NA
"506","WR","Da'Rick Rogers",3000,0,NA,NA,NA,NA,NA,NA
"507","RB","Trey Millard",3000,0,NA,NA,NA,NA,NA,NA
"508","RB","Vick Ballard",3000,0,NA,NA,NA,NA,NA,NA
"509","RB","Silas Redd Jr.",3000,2.147,NA,NA,NA,NA,NA,NA
"510","WR","Kyle Prater",3000,0,NA,NA,NA,NA,NA,NA
"511","WR","Deon Long",3000,0,NA,NA,NA,NA,NA,NA
"512","WR","Ryan Lankford",3000,0,NA,NA,NA,NA,NA,NA
"513","RB","Jay Prosch",3000,0.213,1.5,0,NA,NA,NA,NA
"514","WR","Dres Anderson",3000,0,NA,NA,NA,NA,NA,NA
"515","RB","Jalston Fowler",3000,0,NA,NA,NA,NA,NA,NA
"516","WR","TJ Jones",3000,0,NA,NA,NA,NA,NA,NA
"517","WR","Kenbrell Thompkins",3000,3.407,17.4,0,NA,NA,0.4,0
"518","RB","Joey Iosefa",3000,0,NA,NA,NA,NA,NA,NA
"519","WR","Nick Harwell",3000,0,NA,NA,NA,NA,NA,NA
"520","WR","Tony Jones",3000,0,NA,NA,NA,NA,NA,NA
"521","WR","Rashad Lawrence",3000,0,NA,NA,NA,NA,NA,NA
"522","WR","Andy Tanner",3000,0,NA,NA,NA,NA,NA,NA
"523","RB","Orleans Darkwa",3000,1.645,2.4,0,NA,NA,3,1
"524","WR","Rod Streater",3000,7.8,28,1,NA,NA,NA,NA
"525","WR","Ify Umodu",3000,0,NA,NA,NA,NA,NA,NA
"526","WR","Mario Hull",3000,0,NA,NA,NA,NA,NA,NA
"527","WR","Jordan Taylor",3000,0,NA,NA,NA,NA,NA,NA
"528","WR","Damarr Aultman",3000,0,NA,NA,NA,NA,NA,NA
"529","WR","R.J. Harris",3000,0,NA,NA,NA,NA,NA,NA
"530","WR","Ben Edwards",3000,0,NA,NA,NA,NA,NA,NA
"531","RB","Connor Neighbors",3000,0,NA,NA,NA,NA,NA,NA
"532","WR","Ace Sanders",3000,0.875,4.6,0,NA,NA,NA,NA
"533","RB","Lee Ward",3000,0,NA,NA,NA,NA,NA,NA
"534","WR","Jimmie Hunt",3000,0,NA,NA,NA,NA,NA,NA
"535","WR","Marcus Lucas",3000,0,NA,NA,NA,NA,NA,NA
"536","RB","Marcus Murphy",3000,0,NA,NA,NA,NA,NA,NA
"537","WR","Bud Sasser",3000,0,NA,NA,NA,NA,NA,NA
"538","RB","Andre Williams",3000,9.444,8.1,0,NA,NA,45.1,7
"539","WR","Jarred Haggins",3000,0,NA,NA,NA,NA,NA,NA
"540","RB","Synjyn Days",3000,0,NA,NA,NA,NA,NA,NA
"541","RB","Rod Smith",3000,0,NA,NA,NA,NA,NA,NA
"542","WR","Joshua Bellamy",3000,0,NA,NA,NA,NA,NA,NA
"543","RB","Dominique Brown",3000,0,NA,NA,NA,NA,NA,NA
"544","RB","Senorise Perry",3000,0.056,-0.1,0,NA,NA,NA,NA
"545","WR","Lance Lewis",3000,0,NA,NA,NA,NA,NA,NA
"546","WR","Jordan Leslie",3000,0,NA,NA,NA,NA,NA,NA
"547","WR","Neal Sterling",3000,0,NA,NA,NA,NA,NA,NA
"548","WR","Walt Powell",3000,-0.25,NA,NA,NA,NA,NA,NA
"549","RB","Lache Seastrunk",3000,0,NA,NA,NA,NA,NA,NA
"550","WR","Javontee Herndon",3000,0,NA,NA,NA,NA,NA,NA
"551","RB","Malcolm Johnson",3000,0,NA,NA,NA,NA,NA,NA
"552","WR","Josh Huff",3000,1.958,8.2,0,NA,NA,0.6,0
"553","WR","Andrew Turzilli",3000,0,NA,NA,NA,NA,NA,NA
"554","WR","John Harris",3000,0,NA,NA,NA,NA,NA,NA
"555","WR","Issac Blakeney",3000,0,NA,NA,NA,NA,NA,NA
"556","RB","Juwan Thompson",3000,3.447,1.7,0,NA,NA,18.1,3
"557","RB","Manasseh Garner",3000,0,NA,NA,NA,NA,NA,NA
"558","WR","Ezell Ruffin",3000,0,NA,NA,NA,NA,NA,NA
"559","WR","Brandon Coleman",3000,0,NA,NA,NA,NA,NA,NA
"560","RB","Michael Burton",3000,0,NA,NA,NA,NA,NA,NA
"561","WR","Malcome Kennedy",3000,0,NA,NA,NA,NA,NA,NA
"562","WR","Albert Wilson",3000,3.5,21.7,0,NA,NA,NA,NA
"563","RB","Michael Dyer",3000,0,NA,NA,NA,NA,NA,NA
"564","RB","Corey Grant",3000,0,NA,NA,NA,NA,NA,NA
"565","WR","DeAndrew White",3000,0,NA,NA,NA,NA,NA,NA
"566","RB","Mack Brown",3000,0,NA,NA,NA,NA,NA,NA
"567","WR","Adrian Coxson",3000,0,NA,NA,NA,NA,NA,NA
"568","WR","Quinton Dunbar",3000,0,NA,NA,NA,NA,NA,NA
"569","WR","Kaelin Clay",3000,0,NA,NA,NA,NA,NA,NA
"570","WR","Antwan Goodley",3000,0,NA,NA,NA,NA,NA,NA
"571","WR","Levi Norwood",3000,0,NA,NA,NA,NA,NA,NA
"572","WR","Matt Hazel",3000,0,NA,NA,NA,NA,NA,NA
"573","WR","Keith Mumphery",3000,0,NA,NA,NA,NA,NA,NA
"574","RB","Jeremy Langford",3000,0,NA,NA,NA,NA,NA,NA
"575","WR","Rishard Matthews",3000,2.7,9.6,2,NA,NA,0.2,0
"576","WR","Justin Hardy",3000,0,NA,NA,NA,NA,NA,NA
"577","WR","Desmond Lawrence",3000,0,NA,NA,NA,NA,NA,NA
"578","WR","J.J. Nelson",3000,0,NA,NA,NA,NA,NA,NA
"579","WR","Da'Ron Brown",3000,0,NA,NA,NA,NA,NA,NA
"580","WR","DiAndre Campbell",3000,0,NA,NA,NA,NA,NA,NA
"581","WR","Kevin Smith",3000,0,NA,NA,NA,NA,NA,NA
"582","WR","Clyde Gates",3000,0,NA,NA,NA,NA,NA,NA
"583","WR","Andre Holmes",3000,8.956,43.3,4,NA,NA,NA,NA
"584","WR","Corey Fuller",3000,2.635,13.2,1,NA,NA,NA,NA
"585","WR","Jake Kumerow",3000,0,NA,NA,NA,NA,NA,NA
"586","WR","Geremy Davis",3000,0,NA,NA,NA,NA,NA,NA
"587","RB","Jerome Smith",3000,0,NA,NA,NA,NA,NA,NA
"588","WR","Bernard Reedy",3000,0,NA,NA,NA,NA,NA,NA
"589","RB","Jamize Olawale",3000,1.175,1.1,2,NA,NA,0,0
"590","WR","Paul Richardson",3000,4.075,18.1,1,NA,NA,NA,NA
"591","WR","Robert Herron",3000,2.225,7.2,1,NA,NA,0,0
"592","WR","Donte Foster",3000,0,NA,NA,NA,NA,NA,NA
"593","WR","Douglas McNeil III",3000,0,NA,NA,NA,NA,NA,NA
"594","WR","Daniel Brown",3000,0,NA,NA,NA,NA,NA,NA
"595","WR","Reggie Bell",3000,0,NA,NA,NA,NA,NA,NA
"596","WR","Isaiah Burse",3000,-0.083,0,0,NA,NA,NA,NA
"597","WR","Josh Harper",3000,0,NA,NA,NA,NA,NA,NA
"598","WR","Jalen Saunders",3000,0.078,1.2,0,NA,NA,NA,NA
"599","WR","Freddie Martino",3000,0,0,0,NA,NA,NA,NA
"600","WR","Josh Reese",3000,0,NA,NA,NA,NA,NA,NA
"601","RB","Terrence Franks",3000,0,NA,NA,NA,NA,NA,NA
"602","WR","Cameron Meredith",3000,0,NA,NA,NA,NA,NA,NA
"603","WR","Tyler McDonald",3000,0,NA,NA,NA,NA,NA,NA
"604","RB","Antonio Andrews",3000,0.775,2.8,0,NA,NA,NA,NA
"605","WR","Chris Hogan",3000,6.6,26.6,4,NA,NA,NA,NA
"606","WR","Saalim Hakim",3000,0,NA,NA,NA,NA,NA,NA
"607","WR","Corey Brown",3000,5.88,22.8,2,NA,NA,7.3,0
"608","RB","Zach Zenner",3000,0,NA,NA,NA,NA,NA,NA
"609","WR","Michael Preston",3000,0,NA,NA,NA,NA,NA,NA
"610","RB","Kenny Hilliard",3000,0,NA,NA,NA,NA,NA,NA
"611","RB","Terrence Magee",3000,0,NA,NA,NA,NA,NA,NA
"612","RB","Dreamius Smith",3000,0,NA,NA,NA,NA,NA,NA
"613","RB","Terron Ward",3000,0,NA,NA,NA,NA,NA,NA
"614","RB","Jahwan Edwards",3000,0,NA,NA,NA,NA,NA,NA
"615","WR","Titus Davis",3000,0,NA,NA,NA,NA,NA,NA
"616","WR","Nigel King",3000,0,NA,NA,NA,NA,NA,NA
"617","WR","Quinton Patton",3000,2.1,11,0,NA,NA,5,0
"618","RB","Mark Weisman",3000,0,NA,NA,NA,NA,NA,NA
"619","WR","Quan Bray",3000,0,NA,NA,NA,NA,NA,NA
"620","RB","Ka'Deem Carey",3000,1.893,4.1,0,NA,NA,11.3,0
"621","WR","Travis Labhart",3000,0,NA,NA,NA,NA,NA,NA
"622","WR","Tre McBride",3000,0,NA,NA,NA,NA,NA,NA
"623","WR","Rashad Ross",3000,0,NA,NA,NA,NA,NA,NA
"624","WR","Ty Montgomery",3000,0,NA,NA,NA,NA,NA,NA
"625","WR","Jamison Crowder",3000,0,NA,NA,NA,NA,NA,NA
"626","RB","Zach Laskey",3000,0,NA,NA,NA,NA,NA,NA
"627","WR","Darren Waller",3000,0,NA,NA,NA,NA,NA,NA
"628","WR","David Porter",3000,0,NA,NA,NA,NA,NA,NA
"629","WR","Dezmin Lewis",3000,0,NA,NA,NA,NA,NA,NA
"630","RB","Keshawn Hill",3000,0,NA,NA,NA,NA,NA,NA
"631","RB","Gus Johnson",3000,0,NA,NA,NA,NA,NA,NA
"632","WR","Adam Humphries",3000,0,NA,NA,NA,NA,NA,NA
"633","RB","Alonzo Harris",3000,0,NA,NA,NA,NA,NA,NA
"634","RB","Malcolm Brown",3000,0,NA,NA,NA,NA,NA,NA
"635","WR","Jaxon Shipley",3000,0,NA,NA,NA,NA,NA,NA
"636","WR","Deshon Foxx",3000,0,NA,NA,NA,NA,NA,NA
"637","RB","Kiero Small",3000,0,NA,NA,NA,NA,NA,NA
"638","WR","Damiere Byrd",3000,0,NA,NA,NA,NA,NA,NA
"639","WR","Bruce Ellington",3000,2.538,4.8,2,NA,NA,2.2,1
"640","WR","Tyler Lockett",3000,0,NA,NA,NA,NA,NA,NA
"641","RB","Aaron Ripkowski",3000,0,NA,NA,NA,NA,NA,NA
"642","WR","Josh Stewart",3000,0,NA,NA,NA,NA,NA,NA
"643","WR","Bradley Marquez",3000,0,NA,NA,NA,NA,NA,NA
"644","WR","Rashad Greene",3000,0,NA,NA,NA,NA,NA,NA
"645","RB","James Wilder Jr.",3000,0,NA,NA,NA,NA,NA,NA
"646","RB","Karlos Williams",3000,0,NA,NA,NA,NA,NA,NA
"647","RB","Thomas Rawls",3000,0,NA,NA,NA,NA,NA,NA
"648","WR","Darius Jennings",3000,0,NA,NA,NA,NA,NA,NA
"649","WR","Devante Davis",3000,0,NA,NA,NA,NA,NA,NA
"650","WR","Devin Smith",3000,0,NA,NA,NA,NA,NA,NA
"651","WR","Evan Spencer",3000,0,NA,NA,NA,NA,NA,NA
"652","RB","Brandon Cottom",3000,0,NA,NA,NA,NA,NA,NA
"653","RB","Akeem Hunt",3000,0,NA,NA,NA,NA,NA,NA
"654","RB","Raheem Mostert",3000,0,NA,NA,NA,NA,NA,NA
"655","WR","Andre Davis",3000,0,NA,NA,NA,NA,NA,NA
"656","WR","Donte Moncrief",3000,6.405,27.8,3,NA,NA,1.1,0
"657","RB","Josh Robinson",3000,0,NA,NA,NA,NA,NA,NA
"658","WR","Chuck Jacobs",3000,0,NA,NA,NA,NA,NA,NA
"659","WR","Jeremy Butler",3000,0,NA,NA,NA,NA,NA,NA
"660","RB","Corey Knox",3000,0,NA,NA,NA,NA,NA,NA
"661","WR","De'Anthony Thomas",3000,5.158,13,0,NA,NA,9.4,1
"662","WR","Kasen Williams",3000,0,NA,NA,NA,NA,NA,NA
"663","RB","Kenneth Harper",3000,0,NA,NA,NA,NA,NA,NA
"664","WR","DaVaris Daniels",3000,0,NA,NA,NA,NA,NA,NA
"665","WR","Shane Wynn",3000,0,NA,NA,NA,NA,NA,NA
"666","RB","Darrin Reaves",3000,2.65,5.2,0,NA,NA,13,0
"667","WR","Rannell Hall",3000,0,NA,NA,NA,NA,NA,NA
"668","WR","Milton Williams III",3000,0,NA,NA,NA,NA,NA,NA
"669","RB","George Atkinson III",3000,0,NA,NA,NA,NA,NA,NA
"670","WR","Christion Jones",3000,0,NA,NA,NA,NA,NA,NA
