"","Position","Name","Salary","AvgPointsPerGame","AvgRecYardsPerGame","RecTDs","AvgPassYardsPerGame","PassTDs","AvgRushYardsPerGame","RushTDs"
"1","WR","Julio Jones",9300,21.293,106.2,6,NA,NA,0.1,0
"2","WR","Odell Beckham Jr.",9200,26.417,NA,NA,NA,NA,NA,NA
"3","WR","Demaryius Thomas",9100,22.812,101.2,11,NA,NA,NA,NA
"4","WR","Dez Bryant",8700,19.033,82.5,16,NA,NA,NA,NA
"5","QB","Aaron Rodgers",8600,23.428,NA,NA,273.8,38,16.8,2
"6","WR","Calvin Johnson",8500,18.229,82.8,8,NA,NA,NA,NA
"7","WR","Jordy Nelson",8400,20.289,94.9,13,NA,NA,NA,NA
"8","QB","Andrew Luck",8300,23.743,NA,NA,297.6,40,17.1,3
"9","WR","Alshon Jeffery",8300,16.913,70.8,10,NA,NA,2.1,0
"10","QB","Peyton Manning",8200,21.301,NA,NA,295.4,39,-1.5,0
"11","QB","Drew Brees",8000,21.749,0.1,0,309.5,33,4.2,1
"12","WR","Randall Cobb",8000,19.594,80.4,12,NA,NA,2.3,0
"13","RB","Jamaal Charles",7900,17.093,19.4,5,NA,NA,68.9,9
"14","WR","Emmanuel Sanders",7900,19.671,87.8,9,NA,NA,2.8,0
"15","RB","Matt Forte",7800,22.538,50.5,4,NA,NA,64.9,6
"16","QB","Russell Wilson",7800,21.91,1.1,0,217.2,20,53.1,6
"17","WR","A.J. Green",7800,17.1,80.1,6,NA,NA,0.2,0
"18","RB","Adrian Peterson",7700,11.3,18,0,NA,NA,75,0
"19","WR","Mike Evans",7700,16.94,70.1,12,NA,NA,NA,NA
"20","RB","Arian Foster",7600,22.808,25.2,5,0.4,1,95.8,8
"21","QB","Cam Newton",7600,19.246,NA,NA,223.4,18,38.5,5
"22","WR","T.Y. Hilton",7600,17.372,89.7,7,NA,NA,1.3,0
"23","QB","Matt Ryan",7500,19.891,NA,NA,293.4,28,9.1,0
"24","RB","Eddie Lacy",7500,17.167,26.7,4,NA,NA,71.2,9
"25","QB","Eli Manning",7400,18.906,NA,NA,275.6,30,1.9,1
"26","QB","Ryan Tannehill",7400,18.719,-0.2,0,252.8,27,19.4,1
"27","WR","DeAndre Hopkins",7400,15.25,75.6,6,NA,NA,NA,NA
"28","QB","Tony Romo",7300,18.656,NA,NA,247,34,4.1,0
"29","RB","Marshawn Lynch",7300,19.839,22.9,4,NA,NA,81.6,13
"30","WR","Kelvin Benjamin",7300,14.978,63,9,NA,NA,NA,NA
"31","RB","LeSean McCoy",7200,13.4,9.7,0,NA,NA,82.4,5
"32","WR","Jordan Matthews",7200,13.2,54.5,8,NA,NA,NA,NA
"33","QB","Philip Rivers",7100,18.603,NA,NA,267.9,31,6.4,0
"34","WR","Keenan Allen",7100,13.307,55.9,4,NA,NA,NA,NA
"35","WR","Brandin Cooks",7100,13.93,55,3,NA,NA,7.3,1
"36","RB","Jeremy Hill",7100,14.035,13.4,0,NA,NA,70.2,9
"37","QB","Matthew Stafford",7000,17.435,NA,NA,266.1,22,5.8,2
"38","QB","Colin Kaepernick",7000,16.979,NA,NA,210.6,19,39.9,1
"39","WR","Sammy Watkins",7000,13.188,61.4,6,NA,NA,0.5,0
"40","RB","C.J. Anderson",7000,14.638,21.6,2,NA,NA,56.6,8
"41","QB","Sam Bradford",6900,0,NA,NA,NA,NA,NA,NA
"42","WR","Jeremy Maclin",6900,18.05,82.4,10,NA,NA,NA,NA
"43","QB","Jay Cutler",6800,19.439,NA,NA,254.1,28,12.7,2
"44","WR","DeSean Jackson",6800,15.173,77.9,6,NA,NA,0.5,0
"45","QB","Joe Flacco",6700,18.571,NA,NA,249.1,27,4.4,2
"46","RB","DeMarco Murray",6700,24.033,26,0,NA,NA,115.3,13
"47","WR","Amari Cooper",6700,0,NA,NA,NA,NA,NA,NA
"48","WR","Brandon Marshall",6600,14.315,55.5,8,NA,NA,NA,NA
"49","QB","Teddy Bridgewater",6600,15.435,NA,NA,224.5,14,16.1,1
"50","WR","Roddy White",6500,15.65,65.8,7,NA,NA,NA,NA
"51","QB","Carson Palmer",6500,18.923,NA,NA,271,11,4.2,0
"52","WR","Steve Smith Sr.",6400,14.667,NA,NA,NA,NA,NA,NA
"53","QB","Robert Griffin III",6400,11.151,NA,NA,188.2,4,19.6,1
"54","RB","Andre Ellington",6400,15.208,32.9,2,NA,NA,55,3
"55","WR","Golden Tate",6300,17.353,83.2,4,NA,NA,1.9,0
"56","QB","Geno Smith",6300,12.343,0,0,180.4,13,17,1
"57","WR","Anquan Boldin",6200,13.913,66.4,5,0,0,0.2,0
"58","QB","Alex Smith",6200,15.333,NA,NA,217.7,18,16.9,1
"59","RB","Justin Forsett",6200,16.233,16.4,0,NA,NA,79.1,8
"60","WR","Andre Johnson",6100,13.107,62.4,3,NA,NA,NA,NA
"61","QB","Andy Dalton",6100,15.425,1.1,1,212.4,19,10.6,4
"62","QB","Derek Carr",6100,13.188,0,0,204.4,21,5.8,0
"63","WR","Marques Colston",6000,11.513,56.4,5,NA,NA,NA,NA
"64","WR","Vincent Jackson",6000,11.888,62.6,2,NA,NA,NA,NA
"65","WR","Eric Decker",6000,13.747,64.1,5,NA,NA,NA,NA
"66","WR","Mike Wallace",6000,13.55,53.9,10,0,0,1,0
"67","QB","Marcus Mariota",6000,0,NA,NA,NA,NA,NA,NA
"68","QB","Jameis Winston",6000,0,NA,NA,NA,NA,NA,NA
"69","WR","Torrey Smith",5900,11.761,47.9,11,NA,NA,NA,NA
"70","RB","Joseph Randle",5900,3.228,1.4,0,NA,NA,21.4,3
"71","QB","Blake Bortles",5900,13.516,NA,NA,207.7,11,29.9,0
"72","QB","Matt Cassel",5800,8.933,NA,NA,141.7,3,6,0
"73","RB","Jonathan Stewart",5800,12.227,13.9,1,NA,NA,62.2,3
"74","WR","Michael Floyd",5800,10.3,52.6,6,NA,NA,0.1,0
"75","RB","Latavius Murray",5700,5.913,9.5,0,NA,NA,28.3,2
"76","WR","Nelson Agholor",5700,0,NA,NA,NA,NA,NA,NA
"77","QB","Michael Vick",5600,4.746,NA,NA,60.4,3,15.3,0
"78","TE","Jimmy Graham",5600,14.681,55.6,10,NA,NA,NA,NA
"79","RB","Mark Ingram",5600,15.762,11.2,0,NA,NA,74.2,9
"80","WR","Jarvis Landry",5600,11.588,47.4,5,NA,NA,-0.2,0
"81","QB","Ryan Fitzpatrick",5500,15.977,NA,NA,206.9,17,15.3,2
"82","WR","Larry Fitzgerald",5500,10.967,56,2,NA,NA,NA,NA
"83","RB","Alfred Morris",5500,11.931,9.7,0,NA,NA,67.1,8
"84","RB","Lamar Miller",5500,14.525,17.2,1,NA,NA,68.7,8
"85","RB","Melvin Gordon",5500,0,NA,NA,NA,NA,NA,NA
"86","RB","T.J. Yeldon",5500,0,NA,NA,NA,NA,NA,NA
"87","RB","Frank Gore",5400,10.794,6.9,1,NA,NA,69.1,4
"88","QB","Mark Sanchez",5400,18.38,NA,NA,268.7,14,9.7,1
"89","WR","Allen Robinson",5400,11.68,54.8,2,NA,NA,NA,NA
"90","TE","Greg Olsen",5300,13.683,63,6,NA,NA,NA,NA
"91","WR","Malcom Floyd",5300,11.038,53.5,6,NA,NA,NA,NA
"92","QB","Nick Foles",5300,18.04,NA,NA,270.4,13,8.5,0
"93","RB","Carlos Hyde",5300,5.364,4.9,0,NA,NA,23.8,4
"94","QB","Josh McCown",5200,13.722,NA,NA,200.5,11,11.5,3
"95","WR","Pierre Garcon",5200,10.263,47,3,0,0,NA,NA
"96","RB","Joique Bell",5200,13.231,21.5,1,NA,NA,57.3,7
"97","WR","Victor Cruz",5100,11.45,56.2,1,NA,NA,NA,NA
"98","QB","Brian Hoyer",5100,12.853,0,0,237.6,12,2.8,0
"99","RB","Rashad Jennings",5100,12.955,20.5,0,NA,NA,58.1,4
"100","QB","Ryan Mallett",5100,7.267,NA,NA,133.3,2,-0.7,0
"101","WR","Kendall Wright",5100,12.279,51.1,6,NA,NA,3.9,0
"102","QB","EJ Manuel",5100,12.344,NA,NA,167.6,5,10.4,1
"103","WR","Rueben Randle",5100,11.988,58.6,3,NA,NA,NA,NA
"104","QB","Matt Hasselbeck",5000,4.485,NA,NA,75.2,2,-2.8,0
"105","QB","Charlie Whitehurst",5000,12.72,1.4,0,189.4,7,12.9,0
"106","QB","Tarvaris Jackson",5000,0,NA,NA,0,0,NA,NA
"107","QB","Derek Anderson",5000,7.206,NA,NA,116.8,5,4,0
"108","QB","Dan Orlovsky",5000,0,NA,NA,NA,NA,NA,NA
"109","QB","Kellen Clemens",5000,0.2,NA,NA,5,0,NA,NA
"110","QB","Shaun Hill",5000,10.92,0,0,184.1,8,1.1,1
"111","QB","Matt Moore",5000,0.32,NA,NA,10.5,0,-1,0
"112","QB","Drew Stanton",5000,11.416,NA,NA,190.1,7,7,0
"113","QB","Matt Schaub",5000,-0.065,NA,NA,5.2,0,NA,NA
"114","QB","Luke McCown",5000,0,NA,NA,NA,NA,NA,NA
"115","QB","Chad Henne",5000,10.727,NA,NA,164,3,8.3,0
"116","QB","Josh Johnson",5000,0,NA,NA,NA,NA,NA,NA
"117","QB","Mike Kafka",5000,0,NA,NA,NA,NA,NA,NA
"118","QB","R.J. Archer",5000,0,NA,NA,NA,NA,NA,NA
"119","QB","Joe Webb",5000,0.289,2.3,0,NA,NA,NA,NA
"120","QB","Chase Daniel",5000,2.593,NA,NA,52.3,0,5,0
"121","QB","Colt McCoy",5000,13.976,NA,NA,211.4,4,13.2,1
"122","QB","Tim Tebow",5000,0,NA,NA,NA,NA,NA,NA
"123","QB","T.J. Yates",5000,0.78,NA,NA,64,0,NA,NA
"124","QB","Christian Ponder",5000,7.24,NA,NA,111,0,8,1
"125","QB","Scott Tolzien",5000,0,NA,NA,NA,NA,NA,NA
"126","QB","Ricky Stanzi",5000,0,NA,NA,NA,NA,NA,NA
"127","QB","McLeod Bethel-Thompson",5000,0,NA,NA,NA,NA,NA,NA
"128","QB","Josh Freeman",5000,0,NA,NA,NA,NA,NA,NA
"129","QB","Thaddeus Lewis",5000,0,NA,NA,NA,NA,NA,NA
"130","QB","Case Keenum",5000,12.95,NA,NA,217.5,2,17.5,0
"131","QB","Jimmy Clausen",5000,4.205,NA,NA,55.8,2,2.2,0
"132","QB","Kellen Moore",5000,0,NA,NA,NA,NA,NA,NA
"133","QB","Brandon Weeden",5000,3.67,NA,NA,60.6,3,-0.2,0
"134","QB","Tyrod Taylor",5000,-0.3,NA,NA,NA,NA,-3,0
"135","QB","Chandler Harnish",5000,0,NA,NA,NA,NA,NA,NA
"136","QB","Austin Davis",5000,12.564,NA,NA,200.1,12,3.6,0
"137","QB","Kirk Cousins",5000,17.567,NA,NA,285,10,3.3,0
"138","QB","Matt Simms",5000,1.76,NA,NA,39,0,2,0
"139","QB","Blaine Gabbert",5000,6.02,NA,NA,38,1,5,0
"140","QB","Sean Renfree",5000,0,NA,NA,NA,NA,NA,NA
"141","QB","Mike Glennon",5000,16.93,NA,NA,236.2,10,8.2,0
"142","QB","B.J. Daniels",5000,0,NA,NA,NA,NA,NA,NA
"143","QB","Ryan Nassib",5000,0.525,NA,NA,15,0,-0.8,0
"144","QB","Zac Dysert",5000,0,NA,NA,NA,NA,NA,NA
"145","QB","Matt McGloin",5000,7.46,NA,NA,129,1,3,0
"146","QB","Matt Barkley",5000,0,NA,NA,0,0,0,0
"147","QB","Zach Mettenberger",5000,11.84,NA,NA,201.7,8,0.6,0
"148","QB","Aaron Murray",5000,0,NA,NA,NA,NA,NA,NA
"149","QB","Brock Osweiler",5000,1.52,NA,NA,13,1,0,0
"150","QB","Bryn Renner",5000,0,NA,NA,NA,NA,NA,NA
"151","QB","Seth Lobato",5000,0,NA,NA,NA,NA,NA,NA
"152","QB","Bryce Petty",5000,0,NA,NA,NA,NA,NA,NA
"153","QB","Jeff Tuel",5000,0,NA,NA,NA,NA,NA,NA
"154","QB","Garrett Gilbert",5000,0,NA,NA,NA,NA,NA,NA
"155","QB","Logan Thomas",5000,2.413,NA,NA,40.5,1,NA,NA
"156","QB","AJ McCarron",5000,0,NA,NA,NA,NA,NA,NA
"157","QB","Tom Savage",5000,1.24,NA,NA,63.5,0,-3,0
"158","QB","Brad Sorensen",5000,0,NA,NA,NA,NA,NA,NA
"159","QB","David Fales",5000,0,NA,NA,NA,NA,NA,NA
"160","QB","Stephen Morris",5000,0,NA,NA,NA,NA,NA,NA
"161","QB","Jake Heaps",5000,0,NA,NA,NA,NA,NA,NA
"162","QB","Garrett Grayson",5000,0,NA,NA,NA,NA,NA,NA
"163","QB","Chase Rettig",5000,0,NA,NA,NA,NA,NA,NA
"164","QB","Tyler Bray",5000,0,NA,NA,NA,NA,NA,NA
"165","QB","Connor Shaw",5000,5.98,NA,NA,177,0,9,0
"166","QB","Phillip Sims",5000,0,NA,NA,NA,NA,NA,NA
"167","QB","Jameill Showers",5000,0,NA,NA,NA,NA,NA,NA
"168","QB","Trevor Siemian",5000,0,NA,NA,NA,NA,NA,NA
"169","QB","Shane Carden",5000,0,NA,NA,NA,NA,NA,NA
"170","QB","Hutson Mason",5000,0,NA,NA,NA,NA,NA,NA
"171","QB","Dylan Thompson",5000,0,NA,NA,NA,NA,NA,NA
"172","QB","Bryan Bennett",5000,0,NA,NA,NA,NA,NA,NA
"173","QB","Anthony Boone",5000,0,NA,NA,NA,NA,NA,NA
"174","QB","Cody Fajardo",5000,0,NA,NA,NA,NA,NA,NA
"175","QB","Sean Mannion",5000,0,NA,NA,NA,NA,NA,NA
"176","QB","Jerry Lovelocke",5000,0,NA,NA,NA,NA,NA,NA
"177","QB","Brett Hundley",5000,0,NA,NA,NA,NA,NA,NA
"178","RB","Tre Mason",5000,11.858,12.3,1,NA,NA,63.8,4
"179","QB","Cole Stoudt",5000,0,NA,NA,NA,NA,NA,NA
"180","QB","Johnny Manziel",5000,2.78,NA,NA,35,0,5.8,1
"181","QB","Taylor Heinicke",5000,0,NA,NA,NA,NA,NA,NA
"182","QB","Alex Tanney",5000,0,NA,NA,NA,NA,NA,NA
"183","QB","Matt Blanchard",5000,0,NA,NA,NA,NA,NA,NA
"184","WR","Breshad Perriman",5000,0,NA,NA,NA,NA,NA,NA
"185","WR","Kevin White",5000,0,NA,NA,NA,NA,NA,NA
"186","QB","Jake Waters",5000,0,NA,NA,NA,NA,NA,NA
"187","QB","Dustin Vaughan",5000,0,NA,NA,NA,NA,NA,NA
"188","RB","C.J. Spiller",4900,8.056,13.9,1,NA,NA,33.3,0
"189","WR","Charles Johnson",4900,7.867,39.6,2,NA,NA,-0.9,0
"190","WR","Kenny Britt",4800,9.263,46.8,3,NA,NA,0.9,0
"191","TE","Travis Kelce",4800,11.825,53.9,5,NA,NA,NA,NA
"192","RB","Todd Gurley",4800,0,NA,NA,NA,NA,NA,NA
"193","RB","Tevin Coleman",4800,0,NA,NA,NA,NA,NA,NA
"194","WR","Kenny Stills",4700,11.993,62.1,3,NA,NA,-0.1,0
"195","RB","Giovani Bernard",4700,14.579,26.8,2,NA,NA,52.3,5
"196","WR","Doug Baldwin",4600,11.372,51.6,3,NA,NA,0.5,0
"197","RB","Isaiah Crowell",4600,7.775,5.4,0,NA,NA,37.9,8
"198","RB","Doug Martin",4500,7.618,5.8,0,NA,NA,44.9,2
"199","WR","John Brown",4500,9.259,43.5,5,NA,NA,-0.4,0
"200","TE","Julius Thomas",4500,12.729,37.6,12,NA,NA,NA,NA
"201","RB","Darren McFadden",4400,7.6,13.2,0,0,0,33.4,2
"202","WR","Michael Crabtree",4400,10.138,43.6,4,NA,NA,0.2,0
"203","WR","Percy Harvin",4400,10.5,43.8,1,NA,NA,13.8,0
"204","WR","Davante Adams",4400,7.389,27.9,3,NA,NA,NA,NA
"205","WR","Greg Jennings",4300,10.575,46.4,6,NA,NA,NA,NA
"206","WR","Dwayne Bowe",4300,9.027,50.3,0,NA,NA,NA,NA
"207","TE","Martellus Bennett",4300,14.225,57.2,6,NA,NA,NA,NA
"208","RB","Devonta Freeman",4300,5.519,14.1,1,NA,NA,15.5,1
"209","WR","Marqise Lee",4300,6.623,32.5,1,NA,NA,0.7,0
"210","RB","Bishop Sankey",4300,6.138,8.3,0,NA,NA,35.6,2
"211","WR","James Jones",4200,11.1,41.6,6,NA,NA,NA,NA
"212","TE","Antonio Gates",4200,13.944,51.3,12,NA,NA,NA,NA
"213","WR","Brian Quick",4200,11.5,53.6,3,NA,NA,NA,NA
"214","RB","Shane Vereen",4200,10.089,27.9,3,NA,NA,24.4,2
"215","WR","Marvin Jones",4200,0,NA,NA,NA,NA,NA,NA
"216","WR","Justin Hunter",4200,7.983,41.5,3,NA,NA,NA,NA
"217","RB","Chris Ivory",4100,9.963,7.7,1,NA,NA,51.3,6
"218","WR","DeVante Parker",4100,0,NA,NA,NA,NA,NA,NA
"219","TE","Jason Witten",4000,10.483,43.9,5,NA,NA,NA,NA
"220","WR","Terrance Williams",4000,10.117,38.8,8,NA,NA,NA,NA
"221","WR","Allen Hurns",4000,10.044,42.3,6,NA,NA,NA,NA
"222","RB","Ameer Abdullah",4000,0,NA,NA,NA,NA,NA,NA
"223","RB","Reggie Bush",3900,10.058,23,0,NA,NA,27,2
"224","WR","Eddie Royal",3900,11.575,48.6,7,NA,NA,0.9,0
"225","RB","Fred Jackson",3900,13.471,35.8,1,0,0,37.5,2
"226","RB","Montee Ball",3900,7.48,12.4,0,NA,NA,34.4,1
"227","WR","Dorial Green-Beckham",3900,0,NA,NA,NA,NA,NA,NA
"228","WR","Reggie Wayne",3800,8.783,51.9,2,NA,NA,NA,NA
"229","TE","Jordan Cameron",3800,8.14,42.4,2,NA,NA,NA,NA
"230","RB","Charles Sims",3800,7.688,23.8,0,NA,NA,23.1,1
"231","RB","David Johnson",3800,0,0.3,0,NA,NA,NA,NA
"232","WR","Chris Conley",3800,0,NA,NA,NA,NA,NA,NA
"233","WR","Devin Funchess",3800,0,NA,NA,NA,NA,NA,NA
"234","WR","Jaelen Strong",3800,0,NA,NA,NA,NA,NA,NA
"235","WR","Stevie Johnson",3700,7.654,NA,NA,NA,NA,NA,NA
"236","RB","Danny Woodhead",3700,4.067,11.3,0,NA,NA,12.7,0
"237","TE","Charles Clay",3700,9.964,43.2,3,NA,NA,NA,NA
"238","WR","Jermaine Kearse",3700,7.958,35.8,1,1.1,0,1,0
"239","WR","Cody Latimer",3700,0.538,2.9,0,NA,NA,NA,NA
"240","RB","Matt Jones",3700,0,NA,NA,NA,NA,NA,NA
"241","RB","James Starks",3600,4.683,8.8,0,NA,NA,20.8,2
"242","RB","Ray Rice",3600,0,NA,NA,NA,NA,NA,NA
"243","WR","Nick Toon",3600,5.488,26.9,1,NA,NA,0.5,0
"244","RB","Robert Turbin",3600,4.45,11.6,2,NA,NA,19.4,0
"245","RB","Ryan Mathews",3600,11.65,11.5,0,NA,NA,55,3
"246","RB","Knile Davis",3600,8.063,9.2,1,NA,NA,28.9,6
"247","TE","Zach Ertz",3600,9.263,43.9,3,NA,NA,NA,NA
"248","RB","Alfred Blue",3600,6.256,7.1,1,NA,NA,33,2
"249","WR","Cecil Shorts III",3600,9.614,NA,NA,NA,NA,NA,NA
"250","RB","Terrance West",3600,8.336,4.6,1,NA,NA,48.1,4
"251","WR","Phillip Dorsett",3600,0,NA,NA,NA,NA,NA,NA
"252","RB","Pierre Thomas",3500,11.182,34.4,1,NA,NA,20.2,2
"253","WR","Devin Hester",3500,7.188,31.5,2,NA,NA,2.2,1
"254","WR","Wes Welker",3500,7.36,33.1,2,NA,NA,NA,NA
"255","WR","Andrew Hawkins",3500,10.793,54.9,2,NA,NA,1,0
"256","RB","Fozzy Whittaker",3500,4.075,6,1,NA,NA,14.5,1
"257","RB","Jacquizz Rodgers",3500,5,10.8,1,NA,NA,13.6,1
"258","TE","Ladarius Green",3500,2.971,16.1,0,NA,NA,NA,NA
"259","TE","Kyle Rudolph",3500,6.567,25.7,2,NA,NA,NA,NA
"260","RB","Branden Oliver",3500,10.807,19.4,1,NA,NA,41.6,3
"261","TE","Tyler Eifert",3500,6.7,37,0,NA,NA,NA,NA
"262","WR","Robert Woods",3500,10.556,43.7,5,NA,NA,NA,NA
"263","WR","Marquess Wilson",3500,5.286,20,1,NA,NA,NA,NA
"264","RB","Javorius Allen",3500,0,NA,NA,NA,NA,NA,NA
"265","RB","Damien Williams",3500,3.619,11.7,1,NA,NA,7.6,0
"266","RB","Cameron Artis-Payne",3500,0,NA,NA,NA,NA,NA,NA
"267","DST","Seahawks ",3400,9.278,NA,NA,NA,NA,NA,NA
"268","TE","Owen Daniels",3400,8.812,35.1,4,NA,NA,NA,NA
"269","TE","Delanie Walker",3400,12.133,59.3,4,NA,NA,NA,NA
"270","RB","Steven Jackson",3400,9.633,9.9,0,NA,NA,47.1,6
"271","RB","Toby Gerhart",3400,5.871,13.3,0,NA,NA,23.3,2
"272","RB","Stevan Ridley",3400,9.667,3.3,0,NA,NA,56.7,2
"273","RB","Kendall Hunter",3400,0,NA,NA,NA,NA,NA,NA
"274","RB","Daniel Herron",3400,7.274,NA,NA,NA,NA,NA,NA
"275","TE","Coby Fleener",3400,10.479,48.4,8,NA,NA,NA,NA
"276","WR","Cole Beasley",3400,6.561,26.2,4,NA,NA,NA,NA
"277","TE","Dwayne Allen",3400,8.906,30.4,8,NA,NA,NA,NA
"278","TE","Josh Hill",3400,3.85,11,5,NA,NA,NA,NA
"279","RB","David Cobb",3400,0,NA,NA,NA,NA,NA,NA
"280","RB","Jay Ajayi",3400,0,NA,NA,NA,NA,NA,NA
"281","TE","Austin Seferian-Jenkins",3400,6.011,24.6,2,NA,NA,NA,NA
"282","RB","Lorenzo Taliaferro",3400,5.508,8.8,0,NA,NA,22.5,4
"283","RB","Darren Sproles",3300,10.773,25.8,0,NA,NA,21.9,6
"284","WR","Andre Caldwell",3300,0.571,2.9,0,NA,NA,NA,NA
"285","WR","Brian Hartline",3300,6.15,29.6,2,NA,NA,NA,NA
"286","RB","Dexter McCluster",3300,4.557,14.1,1,NA,NA,9.4,0
"287","WR","Kamar Aiken",3300,4.389,16.7,3,NA,NA,NA,NA
"288","WR","Mohamed Sanu",3300,11.256,49.4,5,4.9,1,3.2,0
"289","RB","Trent Richardson",3300,7.425,15.3,0,NA,NA,34.6,3
"290","TE","Jordan Reed",3300,8.955,42.3,0,NA,NA,NA,NA
"291","RB","Theo Riddick",3300,6.84,22.6,4,NA,NA,3.6,0
"292","WR","Tavon Austin",3300,6.373,16.1,0,NA,NA,14.9,2
"293","RB","Jerick McKinnon",3300,9.118,12.3,0,NA,NA,48.9,0
"294","DST","Bengals ",3200,6.353,NA,NA,NA,NA,NA,NA
"295","RB","Chris Johnson",3200,7.463,9.4,1,NA,NA,41.4,1
"296","WR","Andre Roberts",3200,5.838,28.3,2,NA,NA,1.3,0
"297","TE","Larry Donnell",3200,9.831,38.9,6,NA,NA,NA,NA
"298","RB","Zac Stacy",3200,5.115,11.7,0,NA,NA,22.5,1
"299","RB","Mike Davis",3200,0,NA,NA,NA,NA,NA,NA
"300","DST","Browns ",3100,8.188,NA,NA,NA,NA,NA,NA
"301","DST","Panthers ",3100,7.222,NA,NA,NA,NA,NA,NA
"302","TE","Vernon Davis",3100,4.493,17.5,2,NA,NA,0.3,0
"303","RB","Knowshon Moreno",3100,8.533,2.7,0,NA,NA,49.3,1
"304","DST","Texans ",3000,10.875,NA,NA,NA,NA,NA,NA
"305","DST","Packers ",3000,9.389,NA,NA,NA,NA,NA,NA
"306","DST","Chiefs ",3000,7.5,NA,NA,NA,NA,NA,NA
"307","DST","Dolphins ",3000,8.125,NA,NA,NA,NA,NA,NA
"308","WR","Josh Cribbs",3000,0.089,1.3,0,NA,NA,NA,NA
"309","WR","Lance Moore",3000,3.414,14.1,2,NA,NA,NA,NA
"310","RB","Maurice Jones-Drew",3000,2.308,5.9,0,NA,NA,8,0
"311","WR","Jason Avant",3000,4.713,30.4,0,NA,NA,NA,NA
"312","WR","Santonio Holmes",3000,1.633,7.4,0,NA,NA,NA,NA
"313","WR","Miles Austin",3000,9.65,47.3,2,NA,NA,NA,NA
"314","WR","Nate Washington",3000,7.481,40.4,2,NA,NA,NA,NA
"315","RB","Tyler Clutts",3000,0.456,0.1,0,NA,NA,NA,NA
"316","WR","Harry Douglas",3000,10.55,46.3,2,NA,NA,NA,NA
"317","WR","Eric Weems",3000,2.013,6.4,2,NA,NA,NA,NA
"318","WR","Jerricho Cotchery",3000,7.318,38.7,1,NA,NA,NA,NA
"319","WR","Josh Morgan",3000,1.857,5,1,NA,NA,2.1,0
"320","WR","Ted Ginn Jr.",3000,2.294,NA,NA,NA,NA,NA,NA
"321","RB","Jerome Felton",3000,0.544,0,0,NA,NA,1.7,0
"322","RB","Tim Hightower",3000,0,NA,NA,NA,NA,NA,NA
"323","RB","Shonn Greene",3000,4.038,1,0,NA,NA,30.2,2
"324","WR","Marcus Thigpen",3000,0.556,NA,NA,NA,NA,NA,NA
"325","RB","Ahmad Bradshaw",3000,15.65,30,6,NA,NA,42.5,2
"326","RB","Cedric Peerman",3000,0.588,1.7,0,NA,NA,2.7,0
"327","RB","Chris Ogbonnaya",3000,1.571,NA,NA,NA,NA,NA,NA
"328","WR","Jerome Simpson",3000,0,NA,NA,NA,NA,NA,NA
"329","RB","Mike Tolbert",3000,4.03,11.6,0,NA,NA,9.8,0
